transcript,annotator,pounds_or_dollars,numbers,contains_misspelt_number,potential_misspellings
"S: Hello, welcome to ShefBurger. What can I get started for you? 
C: Hello, good afternoon. I would like to have two meals today, two mambo combos. 
S: Yeah.
C: Those are regular. The first one, I need the chicken wrap. 
S: Yeah
C: The fries, but I don't like to have the salt in it. 
S: Okay, yeah, nice. 
C: And the Fanta. A small Fanta, please.
S: I could give you a regular in the combo. I can't switch it to a small one. 
C: Oh, okay, sure, sure, sure. That's it. Okay. 
S: What would you like in your second combo?
C: The second combo, I would like to have the vegan wrap. 
S:Yeah. 
C: And the fries and the spiri. Spirit? Zero? Yeah. I don't know what's that, sorry. 
S: Yeah, a Sprite Zero. 
C: I would like just to have try. And the cheese bites. An additional cheese bite. 
S: An additional what, sorry? 
C: Cheese bites. Cheese bits. Cheese bites, yeah. 
S: What sauce would you like with them? 
C: Mmm, what sauce? 
S: Yeah, would you like ketchup? 
C: Yeah, ketchup. Sounds good. Anything else for you?
C: Yeah, I don't like the pickles. Could you just remove it? If there is anything contained. 
S: There are no pickles on any of the dishes. 
C: Okay, okay. That would be good. 
S: Lovely. Is that everything for you? 
C: Yeah, that's it for today. 
S: That's fifteen fifty-seven at the next window. 
C: Okay, sure. Thank you.",af,0,0,False,spiri
" S: Welcome to ShefBurger, what can I get for you? 
C: Hello, good morning. I would like to have a large Mambo combos. A double whopper, fries and a diet coke. And also an apple pie. 
S: Can you repeat what you wanted in the combo, please? 
C: Okay, I would like to have a double whopper. 
S: Yeah. 
C: And I don't know whether I pronounce it correctly. And fries, diet coke. 
S: Yeah, that's alright.
C: And also I would like to have an apple pie, please. 
S: Yeah, one second. 
C: Yeah, that's it. 
S: Is that all?
C: Yeah, that's all.
S:  That will be eleven ninety-eight at the next window, please.
C: Okay, sure",af,0,0,False,
"S: Welcome to ShefBurger, what can I get started for you?
C: Hello, I would like to have a Mambo Combo, a regular one, with a chicken wrap. I would like to have the fried chicken wrap and the fr-. S: Yeah, is that a large or regular combo?
C: A regular one, sorry. 
S: Yeah, what would you like in the combo? 
C: The chicken wraps, the fries, and the orange juice. And additionally, I would like to have a small cup of Fanta.
S: A small cup of what, sorry? 
C: A Fanta. 
S: Is that everything for you? 
C: Yeah, that's it for today. 
S: Great, that's seven thirty eight at the next window.",af,0,0,False,fr
"S: Good morning, welcome to Shefburger. Can I take your order please? 
C: Yes, good morning. Could I have a Big Mac please? 
S: You can. 
C: You want a Shwippie? Okay. Can we have a Shwippie as well? 
S: Yes, of course.
C:  For the Big Mac, can we make that a Mambo Combo? Possibly. 
S: You can. What size Schwipie would you like first? And flavour? 
C: A large, please. And what flavours are there? 
S: We have Smarties and Oreo. 
C: Oreo, please. 
S: And could you repeat the Big Mac order please? 
C: Yeah, so can I make it a regular Mambo Combo? 
S: Of course. 
C: With a Big Mac? Yep. 
C: And can I have fries with that and a Diet Coke?
S: Would you like salt on the fries? 
C: Yeah, sure, why not? 
S: Was that a regular Coke or a Diet Coke? 
C: That's a Diet Coke, please. 
S: Is there anything else you need today? 
C: Yeah, can we have another Mambo Combo but make that a large? S: Is that a Big Mac as well? 
C: No, that's a Zinger Burger. 
S: Fries, fruit bag, drink?
C: Yeah, could I have fries but no salt? 
S: Of course. And what drink would you like? 
C: Could I have water, please? 
S: Great, is there anything else you'd like today? 
C: Yeah, could we have an Apple Pie, as well? And I just wanted to check, in any of those orders, like the Big Mac, the Zinger Burger, are there any pickles because I'm kind of allergic to them? 
S: That is a good question. Yes, both the Big Macs will have pickles on. C: Wait, the Big Mac and the Zinger Burger? 
S: The Zinger Burger does not have pickles on it. 
C: Okay.
S: Would you like me to alter the Big Mac for you? 
C: Nah, since I'm the one having the Zinger Burger, it'll be fine. Yeah, that's it. Thank you.
S: Brilliant, thank you very much. That'll be sixteen point seventy five, is that okay? 
C: Yeah, that's fine. 
S: Thank you very much.
C: Okay, thank you. And I go to just the window over there?
S: Yes, that's right.
C: Okay, brilliant. Thank you.",af,0,0,False,"schwipie, shwippie"
"S: Good morning, welcome to Shefburger. Can I take your order, please? 
C: Yeah, could I have a whopper, please? 
S: You can, would you like to make that a combo? 
C: Nah
S: Anything else for you today?
C: For that whopper could I add extra onion? 
S: Yeah, no problem
C: and maybe another patty as well 
S: Yep, that's everything 
CL Yeah, so you got extra onion extra pattie yeah
S: I don't seem to be able to add extra onion on this menu. Would you like anything else
C: yeah, could I have um What else can you add to the burger?
S: Just beef patties
C: Okay, never mind. Okay.
C: Yeah, so just the extra beef patty then could I have though as well as the whopper could I also have some fries, please make that regular? 
S: Of course salt on the fries.
C: yes, please
S: Anything else today?
C: And then lastly could have a fried chicken wrap, please
S: Yeah no problem Would you like to make that a combo?
C: Err nah that's it And that's all I want. Thank you. 
S: Great,  that would be fourteen pounds twenty-seven come the next window, please.
C: Okay, brilliant. Okay. Thank you",af,0,0,False,cl
"S: Hello, welcome to ShefBurger. What can I get for you? 
C: Hello, can I have a chicken nuggets? 
S: Yeah, just regular nuggets or a share box. 
C: Yes, share box. 
S: That sounds great. What sauce would you like with them? 
C: With ketchup?
S: Yeah. How many of them would you like?
C: How many ketchup or how many? 
S: I think three is a good amount for a share box. 
C: Okay, sure. 
S: Can I get you anything else? 
C: Okay. Chicken wraps?  Okay. Can we have chicken wraps? 
S: Yeah. 
C: And also a cheeseburger.
S: Yeah. Is there anything else? 
C: Yeah, can I know the total price for all those items, and the calories? 
S: Yeah, that would be fourteen forty seven.
C: Fourteen forty-seven? Should I release it? Yeah, our budget is only around eight pounds. 
S: That would bring your total down to eleven twenty eight. 
C: eleven pounds, Yeah, it's close to our budget. Can I also know the total calories? 
S: Yeah, that's a thousand two hundred and ninety. 
C: Right. Yeah, I think that should be fine. Yeah, that's it for today. Thank you. 
S: Great. Have a nice day.",af,0,0,False,
"S: Hi, welcome to ShefBurger. How may I take your order today?
C: Could I please get a big Mac? But can I have that without pickle
S: a big Mac without pickles? 
C: yeah
S: yeah sure
C: could I actually get that in a combo?
S: Yeah, of course combo. Would you like ite a regular combo or a large combo?
C: a regular one is fine for me.
S: Okay, would you like any fries or fruit bag with it? 
C: Yeah, I'll take the fries 
S: Okay, no salt on the fries. 
C: No, I'm fine with salt.
S:  Okay And for the drink, what would you like? 
C: Just a Coke Zero. 
S: Coke Zero.
C: No ice, please
S: Yeah
C: Can I also get a shwippie? 
S: Shwippie, what flavor do you want? 
C: What flavours do you have? 
S: We have smarties and Oreo, I think yeah, oreo. 
C: Yeah, I'll go smarties then.
S: er a small shwippie or regular shwippie? 
C: A regular one, please 
S: Okay, is that all for today? 
C: Yeah, that's everything
S: that'll be a seven seventy eight
C: Yeah
S: if you could proceed to the next window",af,0,0,False,"ite, shwippie"
"S: Welcome to Shefburger, can I take your order please? 
C: Yeah, could I have a chicken wrap mambo combo please? 
S: Yep, no problem. Would you like a regular or large? 
C: Large please.
S: And what sides and drink would you like with that? 
C: Could I have fries?
S: Yep. And could I have Fanta please? 
S: Yep, would you like salt on the fries? 
C: Err nah. Also, could I make the chicken wrap the grilled one? 
S: You can indeed. Okay, that's sorted for you. Would you like anything else?
C: Err yeah, could I have a large Fanta as well? 
S: Just on its own yup?
C: Yeah, just on its own. 
S: Okay, would you like ice with that?
C: Err yeah, could I have chicken nuggets please? 
S: Would you like it as a share box, regular, small? 
C: I'll take a share box I guess. 
S: Any sauce with that? 
C: Erm, what sauces do you have?
S: We've got mayo, vegan mayo, ketchup, sweet chilli, BBQ, mustard, balsamic and Big Mac sauce. 
C: Can I have vegan mayo please?
S: Certainly can.
C: Awesome.
S: Anything else today?
C: Err nah, can I just ask, how many calories is that altogether? 
S: one thousand eight hundred and forty four calories in everything you've asked for today. 
C: Ah, that's quite a lot. Could, erm, maybe I should take off the chicken nuggets. I might take off the chicken nuggets if that's okay.
S: Yep, no problem.
C: Sorry about that.
S No problem. That comes to eight seventy eight. Is that everything today? 
C: Yeah, that's absolutely fine. That's brilliant. Thank you.
S: Thank you. Come to the next window.",af,0,0,False,
"S: Welcome to ShefBurger, what can I get for you today? 
C: Hello, can I have a Mambo Combo, a regular one? Big Mac French fries and a Coca-Cola. 
S: Sorry, what was the main in the combo?
C: A Big Mac.
S: A Big Mac.
S: Yeah, what would you like in the combo with it? 
C: Chips and Coca-Cola. 
S: Yeah, a regular Coke or a Diet Coke. 
C: Diet Coke, please.
S: Lovely.
C: Can I also know that, is there any meat contained in the Big Mac? S: Yeah, it's a Big Mac; there's beef in it.
C: Okay, do you have any vegetarian options?
S: Yeah, I could offer you a veggie wrap, for example.
C:  Okay, how much is it? That would be four twenty-nine, but not in a combo. 
C: So how about the total price for the combo?
S: That would be five senty nine. 
C: Okay, that's it. I would like to have a vegetarian.
S:  Would you like the veggie wrap then, instead?
C: Yeah, the veggie one. 
S: Anything else for you today? 
C: No, that's it. 
S: Okay, great, that's five seventy nine at the next window.
C: Thank you.",af,0,0,False,"twentynine, senty"
"S: Welcome to Shefburger. Can I take your order, please? 
C: Yeah, hi could I have a veggie wrap, please?
S: Yes, no problem would you like that as a combo?
C: No just on its own could ask how many calories is in a veggie wrap?
S: the wrap on its own is three hundred and sixty five calories, okay? C: In that case could have a have a cheeseburger as well?
S: Yeah no problem
C: And how many calories is that just wondering
S: About two hundred and eighty calories
C: okay cool, okay, and can you maybe? Bacon, add more bacon to it 
S: Yeah of course Just one slice or would you like more
C: maybe two maybe two and Lastly could I have a sprite zero please and make that regular? 
S: Would you like ice with that?
C:Yes please 
S: If there anything else I can get for you today. 
C: No that's it thank you.
S: That'll be fourteen pound eighty come to the next window, please C: brilliant. 
S: Thank you.",af,0,0,False,
